,name
0,Erling Haaland
1,Antony
2,Wesley Fofana
3,Aurélien Tchouaméni
4,Casemiro
5,Alexander Isak
6,Matthijs de Ligt
7,Raheem Sterling
8,Sadio Mané
9,Romelu Lukaku
10,Marc Cucurella
11,Federico Chiesa
12,Jules Koundé
13,Raphinha
14,Richarlison
15,Lisandro Martínez
16,Darwin Núñez
17,Fabián Ruiz
18,Gabriel Jesus
19,Cristian Romero
20,Kalvin Phillips
21,Carlos Soler
22,Paul Pogba
23,Robert Lewandowski
24,Matheus Nunes
25,Erling Haaland
26,Antony
27,Wesley Fofana
28,Aurélien Tchouaméni
29,Casemiro
30,Alexander Isak
31,Matthijs de Ligt
32,Raheem Sterling
33,Sadio Mané
34,Romelu Lukaku
35,Marc Cucurella
36,Federico Chiesa
37,Jules Koundé
38,Raphinha
39,Richarlison
40,Lisandro Martínez
41,Darwin Núñez
42,Fabián Ruiz
43,Gabriel Jesus
44,Cristian Romero
45,Kalvin Phillips
46,Carlos Soler
47,Paul Pogba
48,Robert Lewandowski
49,Matheus Nunes
50,Franck Kessié
51,Enzo Fernández
52,Lucas Paquetá
53,Amine Gouiri
54,Vitinha
55,Nuno Mendes
56,Gonçalo Guedes
57,Diego Carlos
58,Antonio Rüdiger
59,Kalidou Koulibaly
60,Sven Botman
61,Charles De Ketelaere
62,Bremer
63,Fábio Vieira
64,Oleksandr Zinchenko
65,Amadou Onana
66,Nayef Aguerd
67,Sébastien Haller
68,Karim Adeyemi
69,Yves Bissouma
70,Timo Werner
71,Ryan Gravenberch
72,Paulo Dybala
73,Niklas Süle
74,Andreas Christensen
75,Nico Schlotterbeck
76,Brenden Aaronson
77,Steven Bergwijn
78,Gianluca Scamacca
79,Manuel Akanji
80,Frank Anguissa
81,Renan Lodi
82,Tanguy Ndombélé
83,Angeliño
84,Morgan Gibbs-White
85,Robin Gosens
86,Leander Dendoncker
87,Renato Sanches
88,Giacomo Raspadori
89,Hugo Ekitiké
90,Joaquín Correa
91,Mohamed Camara
92,Xaver Schlager
93,Denis Zakaria
94,David Raum
95,Luis Sinisterra
96,Merih Demiral
97,João Palhinha
98,Sasa Kalajdzic
99,Mattéo Guendouzi
100,Raúl de Tomás
101,Pedro Porro
102,Lucas Ocampos
103,Sergio Reguilón
104,Callum Hudson-Odoi
105,Conor Coady
106,Boubacar Kamara
107,Nicolas Pépé
108,Lorenzo Insigne
109,Nathan Collins
110,Filip Kostić
111,Calvin Bassey
112,Cheick Doucouré
113,Roméo Lavia
114,Sofiane Diop
115,Jérémie Boga
116,Thilo Kehrer
117,Cengiz Ünder
118,Julian Weigl
119,James Tarkowski
120,Mauro Icardi
121,Jan Bednarek
122,Giovani Lo Celso
123,Éderson
124,Maxwel Cornet
125,Taiwo Awoniyi
126,David Carmo
127,Nahuel Molina
128,Arnaud Kalimuendo
129,Philippe Coutinho
130,Umar Sadiq
131,Neco Williams
132,Rasmus Højlund
133,Pervis Estupiñán
134,David Neres
135,Dodô
136,Adam Hlozek
137,Nordi Mukiele
138,Remo Freuler
139,Lucas Torreira
140,Trincão
141,Antonín Barák
142,Andrea Belotti
143,Noussair Mazraoui
144,Héctor Bellerín
145,Christian Eriksen
146,Nico González
147,Andrea Pinamonti
148,Arthur Theate
149,Hassane Kamara
150,Keane Lewis-Potter
151,Min-jae Kim
152,Destiny Udogie
153,Carney Chukwuemeka
154,Dwight McNeil
155,Gaëtan Laborde
156,Aaron Hickey
157,Brais Méndez
158,Neal Maupay
159,Moussa Niakhaté
160,Mattia Zaccagni
161,Zeki Çelik
162,Arthur Melo
163,Julian Draxler
164,Abdou Diallo
165,Sergiño Dest
166,Georginio Wijnaldum
167,Matthias Ginter
168,Nathan Redmond
169,Alex Telles
170,Jesse Lingard
171,Dean Henderson
172,Daniel James
173,André Gomes
174,Issa Diop
175,Matt Targett
176,Tyler Adams
177,Wout Faes
178,Roman Yaremchuk
179,Tyrell Malacia
180,Marcos Senesi
181,Jordan Veretout
182,Giovanni Simeone
183,Destiny Udogie
184,Giovanni Simeone
185,Leandro Paredes
186,Yusuf Yazıcı
187,Chancel Mbemba
188,Kasper Dolberg
189,Alessio Romagnoli
190,Destiny Udogie
191,Hee-chan Hwang
192,Mathías Olivera
193,Brian Brobbey
194,Jota
195,Tanguy Nianzou
196,Jerry St. Juste
197,Duje Caleta-Car
198,Arkadiusz Milik
199,Matteo Pessina
200,Arkadiusz Milik
201,Randal Kolo Muani
202,Dele Alli
203,Luiz Felipe
204,Yuri Alberto
205,Luka Jović
206,Diadié Samassékou
207,Bertrand Traoré
208,Emerson Palmieri
209,Takumi Minamino
210,Beto
211,Mikkel Damsgaard
212,Everton
213,Khvicha Kvaratskhelia
214,Rasmus Kristensen
215,Mohamed-Ali Cho
216,Orel Mangala
217,Breel Embolo
218,Pierre-Emerick Aubameyang
219,Nick Pope
220,Mattias Svanberg
221,Jonathan Clauss
222,Arthur Theate
223,Konstantinos Mavropanos
224,Fábio Silva
225,Nuno Tavares
226,Amad Diallo
227,Harry Winks
228,Alexandre Lacazette
229,Corentin Tolisso
230,Justin Kluivert
231,Emmanuel Dennis
232,Djed Spence
233,Diego Rossi
234,Gavin Bazunu
235,Mohamed Bayo
236,Marcão
237,Sebastian Szymanski
238,Wout Weghorst
239,Walter Benítez
240,Kayky
241,Yangel Herrera
242,Jason Denayer
243,Fredrik Aursnes
244,Lucas Gourna-Douath
245,Mattia Viti
246,Salih Özcan
247,James Rodríguez
248,Calvin Stengs
249,Ethan Ampadu
250,Jørgen Strand Larsen
251,Pau López
252,Marc Roca
253,Alexis Beka Beka
254,Stanley Nsoki
255,Chris Richards
256,Agustín Álvarez
257,Luís Maximiano
258,Luiz Henrique
259,Gabriel Veron
260,Willian José
261,Owen Wijndal
262,Marko Grujic
263,Samuele Ricci
264,Billy Gilmour
265,Angelo Fulgini
266,Fábio Carvalho
267,João Pedro
268,Idrissa Gueye
269,Sérgio Oliveira
270,Maxi Gómez
271,Andrea Petagna
272,Boulaye Dia
273,Krzysztof Piatek
274,Răzvan Marin
275,Divock Origi
276,André Onana
277,Marcos Alonso
278,Clément Lenglet
279,Adnan Januzaj
280,Ángel Di María
281,Loïc Badé
282,Sam Johnstone
283,Taty Castellanos
284,Marcus Tavernier
285,Julio Enciso
286,Armel Bella-Kotchap
287,Joshua Zirkzee
288,Matheus Henrique
289,Nicolás Tagliafico
290,Mady Camara
291,Flynn Downes
292,Gabriel Sara
293,James Garner
294,Sergio Gómez
295,Jakub Kaminski
296,Luis Suárez
297,Rúben Vinagre
298,Giulian Biancone
299,Junya Ito
300,Borja Mayoral
301,Ademola Lookman
302,Guglielmo Vicario
303,Rolando Mandragora
304,Joe Aribo
305,Ozan Kabak
306,Gianluca Caprari
307,Kristjan Asllani
308,Wilfried Gnonto
309,Mahmoud Trezeguet
310,Hugo Duro
311,Michy Batshuayi
312,Gianluca Caprari
313,Mario Götze
314,Léo Dubois
315,Aster Vranckx
316,Alexander Sørloth
317,Mathias Normann
318,Aleksey Miranchuk
319,Pierluigi Gollini
320,Nicolò Rovella
321,Alessio Cragno
322,Stefan Posch
323,Manu Sánchez
324,Serhou Guirassy
325,Ivan Perisic
326,Allan
327,Ainsley Maitland-Niles
328,Amine Harit
329,Ander Herrera
330,Alex Mowatt
331,Cyle Larin
332,Federico Bernardeschi
333,Cucho Hernández
334,João Victor
335,Ahmetcan Kaplan
336,Andreas Pereira
337,José Manuel López
338,Miralem Pjanic
339,Lewis O'Brien
340,Alphonse Areola
341,Brandon Soppy
342,Gabriel Slonina
343,Christopher Wooh
344,Andrea Colpani
345,Jhon Lucumí
346,Andreas Cornelius
347,Adam Buksa
348,Kevin Mbabu
349,Bernd Leno
350,Kristijan Jakic
351,Anwar El Ghazi
352,Predrag Rajkovic
353,Nikola Moro
354,Ricardo Pepi
355,Luca Pellegrini
356,Jean-Philippe Gbamin
357,Freddie Woodman
358,Óscar Rodríguez
359,Unai Núñez
360,Ilaix Moriba
361,Rafinha
362,Portu
363,Paco Alcácer
364,Malick Thiaw
365,Ritsu Doan
366,Omar Richards
367,Giulio Maggiore
368,Dávid Hancko
369,Jens Petter Hauge
370,Vedat Muriqi
371,Nathan Ngoumou
372,Alexander Bah
373,Nehuén Pérez
374,André Almeida
375,Simon Adingra
376,El Bilal Touré
377,Marcos Antônio
378,Kaiky
379,Lucas Alario
380,Flavius Daniliuc
381,Patrick Wimmer
382,Francisco Conceição
383,Anders Dreyer
384,Carlos Vinícius
385,Denis Bouanga
386,Enis Bardhi
387,Kastriot Imeri
388,Moi Gómez
389,Haris Seferovic
390,Malang Sarr
391,Domingos Duarte
392,Isaac Hayden
393,Alejandro Pozuelo
394,Jordan Larsson
395,Joshua King
396,Henrikh Mkhitaryan
397,Romain Saïss
398,Jens Petter Hauge
399,Christos Tzolis
400,Abde Ezzalzouli
401,Kacper Kozlowski
402,Cédric Bakambu
403,Tyler Roberts
404,Zinho Vanheusden
405,Abdallah Sima
406,Pol Lirola
407,Marco Carnesecchi
408,Djibril Sidibé
409,Munir El Haddadi
410,Reinier
411,Loïs Openda
412,Nicolò Casale
413,Bartol Franjic
414,Takefusa Kubo
415,Guus Til
416,Ezgjan Alioski
417,Isco
418,Grischa Prömel
419,Alexandru Cicâldău
420,Quinten Timber
421,Armand Laurienté
422,Perr Schuurs
423,Cameron Carter-Vickers
424,Matteo Lovato
425,Strahinja Pavlovic
426,Lázaro
427,Aaron Boupendza
428,Samuel Lino
429,Jordan
430,Giuliano Galoppo
431,Luan Peres
432,Ui-jo Hwang
433,Fabien Centonze
434,Toby Alderweireld
435,Marquinhos
436,Raoul Bellanova
437,Willian Arão
438,Morten Thorsby
439,Adam Ounas
440,Jorge Carrascal
441,Théo Bongonda
442,Oliver Abildgaard
443,Raoul Bellanova
444,Diogo Leite
445,Kenedy
446,Alex Král
447,Anthony Caci
448,Milot Rashica
449,Yeferson Soteldo
450,John Anthony Brooks
451,Colin Dagba
452,Ui-jo Hwang
453,Martín Satriano
454,John Swift
455,Jack Stephens
456,Samuel Lino
457,Riqui Puig
458,Uroš Račić
459,Lucien Agoumé
460,Taylor Harwood-Bellis
461,Thomas Strakosha
462,Stefano Sensi
