,Unnamed: 0,name,age,market_value,fee,loan,ATT,SKI,MOV,POW,MEN,DEF,GK,league_to_encoded,position_Attacking Midfield,position_Central Midfield,position_Centre-Back,position_Centre-Forward,position_Defensive Midfield,position_Goalkeeper,position_Left Midfield,position_Left Winger,position_Left-Back,position_Right Midfield,position_Right Winger,position_Right-Back,position_Second Striker
0,0,Erling Haaland,21,150.0,60.0,False,76.0,70.0,82.0,86.0,75.0,42.0,10.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,Antony,22,35.0,95.0,False,54.0,63.0,66.0,51.0,49.0,42.0,11.0,9,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,Wesley Fofana,21,40.0,80.4,False,50.0,54.0,69.0,62.0,62.0,80.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
6,5,Alexander Isak,22,30.0,70.0,False,71.0,78.0,92.0,72.0,68.0,49.0,13.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
8,6,Matthijs de Ligt,22,70.0,67.0,False,81.0,75.0,71.0,80.0,72.0,34.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,7,Raheem Sterling,27,70.0,56.2,False,68.0,75.0,79.0,74.0,74.0,79.0,10.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
12,9,Romelu Lukaku,29,70.0,7.86,True,77.0,73.0,79.0,80.0,74.0,50.0,10.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
14,10,Marc Cucurella,24,28.0,65.3,False,60.0,57.0,73.0,66.0,63.0,86.0,9.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
16,11,Federico Chiesa,24,65.0,43.6,False,67.0,73.0,71.0,78.0,74.0,81.0,10.0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
18,14,Richarlison,25,48.0,58.0,False,86.0,82.0,81.0,85.0,81.0,32.0,10.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
20,19,Cristian Romero,24,48.0,50.0,False,61.0,62.0,71.0,82.0,63.0,85.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
22,20,Kalvin Phillips,26,50.0,49.0,False,71.0,78.0,92.0,72.0,68.0,49.0,13.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
24,21,Carlos Soler,25,50.0,18.0,False,81.0,75.0,71.0,80.0,72.0,34.0,11.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
26,22,Paul Pogba,29,48.0,0.0,False,68.0,75.0,79.0,74.0,74.0,79.0,10.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
28,23,Robert Lewandowski,33,45.0,45.0,False,73.0,77.0,87.0,76.0,67.0,51.0,7.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
60,53,Amine Gouiri,22,42.0,28.0,False,56.0,68.0,84.0,74.0,70.0,74.0,7.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
61,57,Diego Carlos,29,40.0,31.0,False,73.0,69.0,87.0,73.0,65.0,50.0,12.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
62,59,Kalidou Koulibaly,31,35.0,38.0,False,76.0,63.0,64.0,68.0,61.0,44.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
63,60,Sven Botman,22,30.0,37.0,False,79.0,77.0,76.0,82.0,79.0,57.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
64,61,Charles De Ketelaere,21,30.0,36.5,False,67.0,76.0,79.0,64.0,61.0,48.0,12.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
65,64,Oleksandr Zinchenko,25,25.0,35.0,False,74.0,88.0,86.0,63.0,66.0,33.0,9.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
66,65,Amadou Onana,20,10.0,35.0,False,48.0,51.0,63.0,59.0,53.0,76.0,9.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
67,66,Nayef Aguerd,26,12.0,35.0,False,59.0,60.0,75.0,72.0,62.0,70.0,7.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
68,68,Karim Adeyemi,20,35.0,30.0,False,56.0,58.0,71.0,69.0,63.0,77.0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
69,69,Yves Bissouma,25,35.0,29.2,False,66.0,70.0,68.0,70.0,74.0,81.0,11.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
70,70,Timo Werner,26,35.0,20.0,False,58.0,61.0,59.0,67.0,67.0,80.0,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
71,71,Ryan Gravenberch,20,35.0,18.5,False,71.0,64.0,66.0,74.0,66.0,29.0,9.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72,72,Paulo Dybala,28,35.0,0.0,False,46.0,43.0,57.0,56.0,55.0,75.0,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
73,74,Andreas Christensen,26,35.0,0.0,False,73.0,71.0,81.0,79.0,70.0,67.0,12.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
74,75,Nico Schlotterbeck,22,33.0,20.0,False,70.0,57.0,76.0,78.0,62.0,25.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,76,Brenden Aaronson,21,25.0,32.84,False,68.0,65.0,79.0,71.0,67.0,72.0,10.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
76,77,Steven Bergwijn,24,18.0,31.25,False,68.0,65.0,80.0,67.0,62.0,23.0,10.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
77,78,Gianluca Scamacca,23,30.0,28.5,False,72.0,86.0,78.0,70.0,70.0,52.0,10.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
78,79,Manuel Akanji,27,30.0,20.0,False,68.0,61.0,69.0,79.0,55.0,25.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
79,85,Robin Gosens,27,28.0,27.4,False,69.0,75.0,80.0,73.0,73.0,79.0,8.0,11,0,0,0,0,0,0,1,0,0,0,0,0,0
80,86,Leander Dendoncker,27,28.0,15.0,False,72.0,64.0,76.0,79.0,70.0,33.0,11.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
81,88,Giacomo Raspadori,22,28.0,5.0,True,76.0,86.0,70.0,66.0,69.0,46.0,9.0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
82,91,Mohamed Camara,22,27.0,15.0,False,64.0,64.0,79.0,68.0,55.0,33.0,11.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
83,92,Xaver Schlager,24,27.0,12.0,False,46.0,50.0,73.0,66.0,60.0,79.0,11.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,93,Denis Zakaria,25,27.0,3.0,True,64.0,65.0,79.0,68.0,62.0,67.0,11.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
85,94,David Raum,24,20.0,26.0,False,58.0,62.0,63.0,53.0,61.0,51.0,11.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
86,95,Luis Sinisterra,23,25.0,25.0,False,67.0,76.0,74.0,69.0,65.0,52.0,12.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
87,96,Merih Demiral,24,25.0,21.0,False,62.0,64.0,72.0,64.0,60.0,72.0,11.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0
88,98,Sasa Kalajdzic,25,25.0,18.0,False,71.0,72.0,82.0,66.0,68.0,55.0,12.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
89,102,Lucas Ocampos,28,25.0,4.0,True,67.0,60.0,61.0,72.0,71.0,83.0,9.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
90,105,Conor Coady,29,25.0,0.0,True,65.0,67.0,86.0,71.0,66.0,44.0,10.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
91,106,Boubacar Kamara,22,25.0,0.0,False,52.0,48.0,59.0,61.0,60.0,78.0,9.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
92,108,Lorenzo Insigne,31,25.0,0.0,False,56.0,62.0,81.0,67.0,70.0,73.0,9.0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
